NAME                      | DESCRIPTION          | AUTHOR          | DATE       | VERSION  | KEYWORDS                                                                                                                
generator-md              | Mauricio Dulce…      | =mdulce         | 2015-05-12 | 2.0.0-b… | yeoman-generator web app front-end h5bp modernizr jquery gulp jade sass bootstrap foundation lb
generator-microcebus      | Generate a…          | =micjamking     | 2016-10-03 | 0.2.2    | yeoman-generator web app WordPress Foundation grunt
generator-moonraft-boiler | A generator for…     | =bhaskargyan…   | 2016-01-12 | 0.0.5    | yeoman-generator moonraft angular gulp restangular ui-router bootstrap angular-material foundation sass less es6 babel traceur typescript coffeescript jade haml webpack eslint
plate                     |                      |                 |            |          |                                                                                                                                                                                
generator-ng-panes        | Yo generator for…    | =joelchu        | 2016-11-29 | 1.6.6    | angularjs yeoman generator bootstrap uikit amazeui semantic-ui angular-material materialize panes panesjs panes.js node node.js foundation yeoman-generator
generator-ng-ss           | Yeoman generator…    | =dovchar…       | 2015-07-13 | 0.1.4    | yeoman-generator angular gulp restangular ui-router bootstrap angular-material foundation sass less es6 babel traceur typescript coffeescript jade haml webpack jshint
generator-origin-craft    | Yeoman generator…    | =megatrond      | 2016-09-20 | 1.2.4    | browserify craftcms foundation generator gulp yeoman yeoman-generator
generator-p4              | Yeoman generator…    | =williambeto    | 2016-11-20 | 0.2.2    | yeoman-generator foundation 6 zurb foundation zurb foundation 6 sass scss libsass grunt browsersync responsive front-end framework
generator-patternlab-foun |                      |                 | 2015-05-28 |          | 
dation                    |                      |                 |            |          | 
generator-postroch        | Front-End generator… | =christianroch… | 2015-02-21 | 1.1.0    | yeoman-generator foundation compass autoprefixer imagemin concat uglify jshint clean connect livereload
generator-prototype       | Scaffold modern…     | =sebastian-fit… | 2015-08-25 | 0.5.11   | yeoman-generator assemble web apps prototype prototypes component front-end scaffold boilerplate templating backbone grunt
generator-pxa-frontend    | Frontend generator…  | =dmh            | 2014-01-24 | 0.0.12   | pxa-frontend pxa
generator-ractive-foundat | Yeoman generator…    | =ivan.wills     | 2016-06-01 | 0.1.2    | yeoman-generator ractive-foundation ractive foundation
ion                       |                      |                 |            |          |                                                       
generator-react-foundatio | Generator for…       | =akiran         | 2015-01-06 | 0.2.0    | yeoman-generator
n-apps                    |                      |                 |            |          |                 
generator-scratch         | Starter theme…       | =mrdink         | 2016-12-20 | 0.2.1    | yeoman-generator wordpress theme front-end grunt starter theme _s underscores sass foundation
generator-shackstack      | Accessible…          | =bshack         | 2016-04-04 | 2.0.15   | accessibility backbone browserify browsersync foundation gulp handlebars jasmine jquery modernizr karma scss yeoman-generator shackstack
generator-spontaneous-com | Yeoman generator…    | =janbaykara     | 2014-10-24 | 0.3.0    | yeoman-generator
bustion                   |                      |                 |            |          |                 
generator-stamp           | Yeoman Generator…    | =kyledetella    | 2013-10-01 | 0.9.6    | yeoman-generator amd requirejs foundation backbone scaffold grunt handlebars
generator-surprise        | Yeoman Generator…    | =rmknecht…      | 2016-07-25 | 1.0.3    | yeoman-generator surprise highway front-end js html5 bootstrap bourbon foundation gulp
generator-tfs             | Generates an app…    | =darquewarrior  | 2017-01-03 | 0.1.1    | yeoman-generator tfs Team Services Visual Studio DevOps RubDevOpsOnIt Blackshirt
generator-veams           | Scaffold modern…     | =sadscorn…      | 2017-01-04 | 7.6.0    | yeoman-generator app assemble mangony veams veams-js veams-sass veams-components veams-generator websites homepage gulp web apps prototype prototypes component front-end scaffold boilerplate templating backbone browserify es harmony javascript grunt
generator-wave            | Yeoman generator…    | =nodox          | 2016-06-23 | 1.0.0    | yeoman-generator angular gulp restangular ui-router bootstrap angular-material foundation sass less es6 babel traceur typescript coffeescript jade haml webpack eslint hapi mongodb
generator-webapp-scaffold | Web app scaffold…    | =itonyyo        | 2015-04-28 | 1.0.16   | yeoman-generator generator-webapp-scaffold modern webapps mobile webapp desktop webapp responsive webapp scaffold web app front-end react.js handlebars.js ember.js angular.js backbone.js modernizr.js html5shiv.js respond.js jquery webpack require.js browserify h5bp zurb foundation twitter bootstrap gulp grunt
generator-webpack-versati | Yeoman generator…    | =tapirdata      | 2016-10-02 | 3.1.1    | yeoman-generator scaffold commonjs browsersync webpack es6 es2015 express pug karma mocha chai backbone marionette bootstrap foundation modernizr sass gulp cache-crusher cache busting uglify
le                        |                      |                 |            |          |                                                                                                                                                                                               
generator-zf-smacss       | Yeoman generator…    | =horacio        | 2014-06-07 | 0.1.2    | yeoman-generator smacss scaffold fullstack foundation bower front-end
generator-zf5             | Yeoman generator…    | =juliancwirko   | 2015-10-07 | 1.0.0    | yeoman-generator foundation5 zurb foundation sass scss
generator-zf5-vs          | Yeoman generator…    | =xtianus        | 2015-03-18 | 0.0.10   | yeoman-generator foundation5 zurb foundation visual-studio asp.net
generator-zf5plus         | Yeoman generator…    | =tomeralmog     | 2014-12-30 | 0.1.1    | yeoman-generator foundation5 zurb foundation zf5 zf5plus Owl Carousel Threejs fabric bourbon fontawesome spritespin
generator-zurb-foundation | Yeoman generator…    | =bauschan       | 2013-11-26 | 0.3.5    | yeoman-generator scaffold foundation rwd zurb dalekjs
gijgo                     | Gijgo is a set of…   | =atatanasov     | 2016-10-29 | 1.0.0    | jquery grid gijgo javascript plugin datagrid table dialog modal draggable droppable tree
gijgo-combined            | Gijgo is a set of…   | =atatanasov     | 2016-10-29 | 1.0.0    | jquery grid gijgo javascript plugin datagrid table dialog modal draggable droppable tree
gijgo-modular             | Gijgo is a set of…   | =atatanasov     | 2016-10-29 | 1.0.0    | jquery grid gijgo javascript plugin datagrid table dialog modal draggable droppable tree
grunt-assemble            | Static site…         | =doowb…         | 2016-09-06 | 0.5.0    | HTML alternative blog boilerplate boilerplates bootstrap build builder components deployment front generator generators grunt gruntplugin handlebars handlebars-helper-eachitems helpers javascript jekyll matter node node.js pages partial partials scaffold scaffolds site static task templates templating website yaml yeoman
grunt-assemble-zrh        | Static site…         | =zurichversich… | 2016-06-15 | 0.3.2    | HTML alternative blog boilerplate boilerplates bootstrap build builder components deployment front generator generators grunt gruntplugin handlebars handlebars-helper-eachitems helpers javascript jekyll matter node node.js pages partial partials scaffold scaffolds site static task templates templating website yaml yeoman
grunt-init-foundation-sit | Start project for…   | =robfree        | 2016-09-14 | 0.0.2    | autoprefixer css prefix postcss postcss-plugin foundation foundation sites 6 init template front-end
es6                       |                      |                 |            |          |                                                                                                     
grunt-inky                | A grunt plugin for…  | =miw0           | 2016-08-25 | 0.2.1    | grunt task inky zurb foundation email responsive
grunt-sandbox-css         | Sandbox a CSS…       | =radekstepan    | 2016-02-20 | 0.6.0    | css prefix sandbox gruntplugin foundation bootstrap
grunt-tfs-unlock          | Grunt.js plugin to…  | =danactive      | 2016-05-15 | 0.4.0    | gruntplugin
gulp-dox-foundation       | Gulp plugin to…      | =tracker1       | 2014-06-27 | 0.0.0    | gulp-plugin dox dox-foundation
gulp-ractive-foundation   | Gulp plugin for…     | =ivan.wills     | 2016-08-15 | 0.0.1    | ractive foundation ractive-foundation gulp
gulp-tfs                  | gulp plugin for…     | =junyiz         | 2017-01-03 | 0.0.9    | gulp tfs
gulp-tfs-fp               | gulp plugin for…     | =frontui        | 2016-04-26 | 1.0.0    | gulp tfs
headlight-node-sdk        | Headlight - App…     | =jasonhillier…  | 2016-11-28 | 2.1.32   | 
hod-foundation            | An Express-based…    | =daniel-ac-mar… | 2015-11-02 | 0.0.3    | forms .gov.uk GovUK
hubot-github-tfs          | A Hubot script to…   | =helaili        | 2016-06-10 | 0.9.4    | hubot hubot-scripts tfs
humix-sense               | Foundation for…      | =jeffffrey      | 2016-12-28 | 1.1.1    | 
ibm-mfp-web-sdk           | IBM MobileFirst…     | =ibmmfpf        | 2016-12-07 | 8.0.201… | ibm worklight mobilefirst mfp web sdk cordova-web
ie8-js                    | ie8 js fix for…      | =seeliang       | 2015-06-12 | 0.1.2    | ie ie8 css3 js fix
igniter-react-component   | An archetype for…    | =zapollo82      | 2016-05-12 | 1.0.0    | component lint test coverage boilerplate foundation blueprint archetype mocha eslint karma webpack react
inky                      | Convert a simple…    | =eddiedean…     | 2016-09-02 | 1.3.7    | ink foundation email template
inspiration-architect     | A thin foundation…   | =shaunpersad    | 2016-05-14 | 0.0.4    | app application express musejs inspirationjs providers config
iotclient                 | This iotClient…      | =amitmangalved… | 2015-06-29 | 0.2.4    | iotcloud
irls-audio-aligner-interf | Interface module to… | =chadananda     | 2016-12-31 | 1.0.5    | audio align ffa firm-foundation ocean
ace                       |                      |                 |            |          |                                      
itc-foundation            | ITC application…     | =itc            | 2016-11-14 | 0.2.2    | language oop events container
jasonraimondi-foundation- |                      |                 | 2016-06-08 |          | 
sites                     |                      |                 |            |          | 
jekyll-foundation         | Starting point for…  | =asaf.algawi    | 2016-03-13 | 0.2.1    | 
jekyll-starter            | A a file-based CMS,… | =sirthxalot     | 2016-10-02 | 2.0.0    | Jekyll CMS Foundation
jquery-eqcol              | Equal effing…        | =awcross        | 2016-10-07 | 1.0.0    | equal columns row height browser bootstrap foundation match jquery
jscs-reporter-vso         | A JSCS reporter for… | =bdukes         | 2016-08-09 | 0.1.0    | jscs reporter vso tfs vsts
json-object-editor        | JOE the Json Object… | =craql          | 2016-12-16 | 0.8.182  | joe json editor
jsonresume-theme-zurb     | JSON Resume…         | =davidengland   | 2016-10-17 | 0.2.0    | jsonresume json resume theme zurb foundation cv
kermit                    | Infrastructure for…  | =a-z            | 2016-06-30 | 2.2.0    | soa service manager infrastructure service oriented architecture application framework foundation config services microservice kermit
kibu                      | Kibu (Foundation):…  | =davidglivar    | 2013-10-18 | 0.0.23   | 
kingsroad                 | Customizing theme…   | =rayfields      | 2016-04-27 | 0.1.0    | html css foundation
koa-better-router         | Stable and lovely…   | =tunnckocore    | 2016-10-22 | 2.0.1    | better betterstack easy flexible get koa koajs match matcher matching middleware params path pathmatch plugin post power powerful rest restful route router routing stack
kotsu                     | Clean, opinionated…  | =armordarks…    | 2016-12-22 | 1.3.1    | app boilerplate build continuous deployment es2015 es6 front-end generator gettext grunt i18n jspm l10n nunjucks sass scaffold sprites generator stack standard static site generator template tool web webfont generator website
kp-toolkit                | *Note: It was…       | =kostaspt       | 2016-02-29 | 0.1.0    | sass margin spacer foundation
lambda-foundation         | Common helpers for…  | =henri…         | 2016-12-30 | 3.0.0    | lambda microservice
langmap                   | List of all the…     | =aali…          | 2016-11-14 | 0.0.14   | locales map languages list l10n localization world native language English language list of languages
laravel-elixir-mail-proce | Take Foundation for… | =xavrsl         | 2016-12-13 | 1.0.6    | laravel elixir email foundation inky
ssor                      |                      |                 |            |          |                                     
leus                      | webpack and gulp…    | =asthesky       | 2016-05-06 | 0.1.0    | webpack gulp foundation
lineman-foundation        | This is a plugin to… | =6qat           | 2014-09-29 | 0.1.12   | lineman linemanplugin foundation css sass
login.webmaker.org        | login.webmaker.org…  | =cadecairos…    | 2016-09-13 | 1.0.33   | 
lumen-foundation-apps     | 'React port of…      | =tackyshot      | 2015-08-06 | 0.7.0    | react foundation-apps modal panel accordion tabs offcanvas interchange notification actionsheet react-component
lumenode-foundation       |                      | =ykrevnyi       | 2016-02-29 | 1.1.6    | 
made-responsive-toolkit   | Responsive…          | =spuriouslyawa… | 2016-12-16 | 2.6.3    | 
magento-boilerplate       | A boilerplate…       | =webcomm        | 2016-08-05 | 3.0.0-a… | 
makeapi                   | MakeAPI for Webmaker | =cadecairos…    | 2016-09-13 | 0.2.0    | 
makeapi-client            | MakeAPI client…      | =cadecairos…    | 2016-09-13 | 0.5.30   | 
makedrive                 | Webmaker Filesystem  | =aali…          | 2016-09-13 | 0.0.69   | filesystem storage web makedrive webmaker cloud
makedrive-client          | Webmaker…            | =aali…          | 2016-09-13 | 0.0.25   | filesystem storage web makedrive webmaker cloud
material-foundation       | Material design for… | =d0whc3r        | 2017-01-02 | 0.0.5    | material-design material design foundation zerb
me_foundation             | A Foundation…        | =saswat307      | 2016-07-26 | 1.0.3    | 
media-queries             | CSS media queries…   | =rafaelrinaldi  | 2016-06-22 | 1.0.5    | breakpoints css defaults media-queries style
metaljs                   | A solid foundation…  | =eduardolundgr… | 2015-06-03 | 0.1.7    | javascript library
mikser-inky               | Zurb foundation…     | =dimitarkolev   | 2016-09-21 | 1.1.0    | 
minibase                  | Minimalist…          | =tunnckocore    | 2016-12-05 | 1.0.1    | app app-base application apps async base baseplugin basic boilerplate callback cb core corebase define elegance foundation kickstart main methods micro microbase mini minibase minimal minimalist nano nanobase node nodejs plugin plugins small smart smart-plugins starter starterkit sync synchronous use
modal.css                 | A simple css…        | =williamanders… | 2016-02-12 | 0.2.0    | modal css
mofo-bootstrap            | Mozilla…             | =gvn…           | 2016-11-08 | 2.0.1    | bootstrap mozilla css sass theme
mofo-localize             | All the little…      | =alanmoo…       | 2016-09-13 | 1.0.0    | localization l10n
mofo-style                | A Javascript style…  | =gvn…           | 2016-09-15 | 2.4.0    | style guide lint MoFo Mozilla
mofo-ui                   | React component…     | =gvn…           | 2016-09-15 | 1.6.0    | 
moment-picker-foundation  | A datepicker based…  | =ideaplexus     | 2016-12-30 | 0.3.0    | 
mozmaker                  | Mozilla…             | =gvn            | 2016-06-21 | 0.8.0    | bootstrap mozilla css sass theme
mumsy-foundation          | A generator to…      | =matthewstewart | 2015-12-02 | 0.1.1    | mumsy express generator passport mongoose handlebars foundation
mumsy-model               | A command line…      | =matthewstewart | 2015-12-03 | 0.1.0    | mumsy express generator passport mongoose handlebars foundation
native-sound-player       | Simple sound player… | =ukatama        | 2016-08-30 | 0.1.1    | sound media-foundation mediafoundation native audio
ne-server                 | A simple Tool to…    | =node-engine    | 2015-10-30 | 1.8.4    | NodeJS ExpressJS
ng2-foundation            | angular2 foundation… | =tzuyangni      | 2016-12-01 | 0.0.4    | angular2 foundation angularjs
nightshade                | CSS framework…       | =inca           | 2016-09-20 | 0.1.8    | css
node_foundationdblayers   | Layers for…          | =agad           | 2013-03-19 | 0.0.3    | foundationdb database client
node-capitalwords         | A node wrapper…      | =tcamara        | 2016-10-12 | 1.0.0    | capital words capital sunlight foundation sunlight labs sunlight congress political api node
node-foundation-sass      | Foundation 5         | =imnicosuarez   | 2015-02-22 | 0.0.4    | zurb foundation sass
node-foundtion-sass       | Foundation 5         | =imnicosuarez   | 2015-02-09 | 0.0.1    | zurb foundation sass
node-humix                | Foundation for…      | =jeffffrey      | 2015-06-01 | 0.1.0    | 
node-humix-sense          | Foundation for…      | =jeffffrey      | 2016-12-28 | 1.0.0    | humix sensor
node-red-contrib-ibmiotap | THIS NODE IS…        | =amitmangalved… | 2015-07-06 | 0.3.9-D… | node-red bluemix iotcloud
p                         |                      |                 |            |          |                          
node-red-contrib-opcua    | A Node-RED node to…  | =biancode…      | 2016-11-21 | 0.2.11   | node-red OPC UA opc-ua unified automation opc foundation node-opcua
nova-base                 | Foundation for Nova… | =credo          | 2016-12-13 | 0.7.5    | nova action framework
npm-foundation            |                      |                 | 2014-07-05 |          | 
object-foundation         | simple framework…    | =miguel_fontes  | 2016-01-27 | 0.1.3    | 
oink-cli                  | Kickstart your…      | =martinemmert   | 2016-01-29 | 0.0.2    | javascript webapp development foundation grunt node bower
omnia-foundation          | package TypeScript…  | =omnia          | 2016-07-22 | 1.0.4    | omnia
one-sass-toolkit          | A collection of…     | =onedesign      | 2016-11-17 | 0.4.0    | sass css styles one design company
open.core                 | Common utility…      | =philcockfield  | 2012-12-02 | 0.1.209  | utility core foundation library common
openbadges-validator      | openbadges…          | =brianloveswor… | 2016-09-13 | 1.1.1    | openbadges validation
ore                       | Foundations for…     | =joehewitt      | 2014-05-12 | 0.0.10   | 
osx-audio                 | Access to Mac OS X…  | =fardog         | 2016-05-14 | 1.0.0    | audio coreaudio sound recording input stream osx corefoundation
osx-dialog                | Creates a dialog to… | =wraithan       | 2014-10-07 | 1.0.0    | dialog osx corefoundation
outset-stylus             | Minimal,…            | =riccardoscalco | 2015-04-28 | 1.0.0    | boilerplate front-end minimal
pact-node                 | A wrapper for the…   | =mboudreau      | 2016-06-14 | 1.3.8    | pact node wrapper mock service
pageman                   | A preprocessor for…  | =pmkary         | 2016-08-09 | 1.2.0    | pageman kary foundation html markdown legend jekyll
panza                     | a foundation for…    | =bmcmahen       | 2016-07-25 | 2.3.0    | react-native widgets ui bootstrap foundation forms
patsy                     | A CLI based build…   | =phun-ky        | 2015-04-02 | 0.2.13-… | gruntjs node javascript css jshint minify handlebars mustache concat templating templates proxy frontend build system framework routing recess uglify dox-foundation grunt qunit nodeunit reload reloadr reloading bake test testing
pebble-cpp                | Pebble Foundation…   | =wvenable       | 2016-07-10 | 0.1.0    | pebble-package
persevere-example-wiki    | This is an example…  | =dojofoundation | 2013-10-14 | 0.2.5    | 
perstore                  | Perstore is a…       | =dojofoundation | 2013-09-25 | 0.3.3    | persistence object store persevere
pintura                   | JSGI-based RESTful…  | =dojofoundation | 2016-01-20 | 0.3.10   | rest database web json persevere
pk-foundation-style       | PassKit foundation…  | =chiukit…       | 2017-02-21 | 1.0.18   | 
plate-model               | React-Redux site…    | =hcchien        | 2016-12-21 | 1.0.16   | 
polywurl                  | polywurl is a…       | =rcolebaugh     | 2016-06-28 | 0.1.0    | bootstrap foundation css translator
pontoon-to-json           | A build-step cli…    | =alanmoo…       | 2016-09-13 | 2.0.0    | Pontoon l10n .properties
preventis-style           | stylesheet…          | =guidoschmidt   | 2016-12-14 | 0.0.2    | style preventis css
preventis-stylesheet      | stylesheet…          | =guidoschmidt   | 2016-12-21 | 1.0.0    | 
product-thumb             | Generates the…       | =vdevigere      | 2015-12-15 | 1.0.2    | 
pubsweet-backend          | [![build…            | =jure           | 2016-11-16 | 0.5.0    | 
pubsweet-frontend         | [![build…            | =jure           | 2016-12-21 | 0.7.0    | 
ractive-foundation        | Ractive components…  | =macclesoft     | 2016-08-04 | 0.21.0   | 
react-foundation          | Foundation as React… | =crisu83…       | 2016-09-14 | 0.7.0    | badge button callout video grid icon label media-object menu progress-bar responsive switch top-bar react foundation react-component
react-foundation-apps     | 'React port of…      | =akiran         | 2015-05-15 | 0.6.1    | react foundation-apps modal panel accordion tabs offcanvas interchange notification actionsheet react-component
react-foundation-componen | Foundation Sites…    | =aruberto       | 2016-09-21 | 0.12.0   | react foundation foundation-sites css-modules react-component
ts                        |                      |                 |            |          |                                                              
react-foundation-docs     |                      |                 | 2016-03-15 |          | 
react-foundation-for-site |                      |                 | 2016-03-14 |          | 
s                         |                      |                 |            |          | 
react-foundation-lib      | A library of…        | =ryanwade       | 2016-11-17 | 0.0.6    | 
react-foundation-menudrop | A menu dropdown      | =numso          | 2014-11-25 | 1.0.0    | 
down                      |                      |                 |            |          | 
react-foundation-modals   |                      |                 | 2015-09-10 |          | 
react-foundation-sites    | "React port of…      | =akiran         | 2014-12-01 | 0.0.1    | React foundation
react-foundation-sites-6  | React Components…    | =mpohja         | 2016-01-16 | 0.0.6    | React Foundation
react-html-document       | A foundational…      | =xavierelopez   | 2016-09-14 | 3.1.0    | react html-document server rendering html server isomorphic universal jsx
react-zurb-foundation     | Foundation 6…        | =anthonybrend   | 2016-02-03 | 0.0.1    | react ecosystem-react react-component zurb zurb-foundation foundation
regular-state             | an SPA(single page…  | =leeluolee      | 2016-07-12 | 0.2.1    | stateman regularjs state spa
requirify-foundation-foun |                      |                 | 2014-09-01 |          | 
dation                    |                      |                 |            |          | 
Resin                     | Admin CSS…           | =themarkappleby | 2016-06-20 | 0.0.14   | CMS admin
responsive-bootstrap-tool | Responsive…          | =rogovdm        | 2016-05-21 | 0.0.1    | 
kit-rogovdm               |                      |                 |            |          | 
responsive-equalized-heig | An intuitive,…       | =jsmreese       | 2014-12-04 | 1.0.0    | zurb foundation equal equalize equalized height heights
hts                       |                      |                 |            |          |                                                        
responsive-toolkit        | Responsive…          | =maciejgurban   | 2016-06-21 | 2.6.3    | 
responsivewebframework    | Jalasoft Foundation… | =luissiles      | 2015-07-14 | 2.0.0    | 
retyped-foundation-sites- | TypeScript typings…  | =retyped        | 2016-01-31 | 6.1.1-0  | retyped tsd tsd-ambient
tsd-ambient               |                      |                 |            |          |                        
retyped-foundation-tsd-am | TypeScript typings…  | =retyped        | 2016-01-31 | 5.5.1-0  | retyped tsd tsd-ambient
bient                     |                      |                 |            |          |                        
rework-struct             | Rework preprocessor… | =queckezz       | 2014-01-24 | 0.3.1    | struct ui minimal ui base component groundwork foundation component rework
rib                       | CoffeeScript…        | =panta          | 2012-03-07 | 0.0.2    | coffeescript library framework toolbelt utility
righteous                 | Kary Foundation…     | =pmkary         | 2016-09-01 | 1.1.3    | 
righteous-core            | Kary Foundation…     | =pmkary         | 2016-09-02 | 1.5.2    | 
rnw-wpf-test              | React Native…        | =gantman        | 2016-12-16 | 0.1.0    | 
rock                      | Generate and…        | =jprichardson…  | 2016-11-03 | 0.4.0    | rock foundation skeleton generate template scaffold
sails-fdb                 | a FoundationDB…      | =foundationdb   | 2014-09-10 | 0.10.4   | postgresql orm waterline sails
sails-generate-foundation | Generates grunt…     | =megakoresh     | 2016-03-25 | 1.0.5    | foundation generator sails generate plugin
sanitize.css              | The best-practices…  | =jonathantneal  | 2017-03-02 | 5.0.0    | 
broccoli-stew             | foundation of any…   | =caitp…         | 2016-10-10 | 1.4.0    | 
foundation-emails         | A framework for…     | =kbal11…        | 2016-06-30 | 2.2.1    | 
inky                      | Convert a simple…    | =eddiedean…     | 2016-09-02 | 1.3.7    | 
@pact-foundation/pact-nod | A wrapper for the…   | =mboudreau…     | 2017-03-11 | 4.8.1    | 
e                         |                      |                 |            |          | 
angular-foundation-6      | ***                  | =circlingthesun | 2017-02-18 | 0.11.5   | 
ascli                     | A uniform…           | =dcode          | 2016-11-05 | 1.0.1    | 
lambda-foundation         | Common helpers for…  | =henri…         | 2016-12-30 | 3.0.0    | 
sassy-helpers             | Useful sass mixins   | =marvinhagemei… | 2016-10-23 | 1.2.0    | sass scss mixins bootstrap foundation
savjs                     | savjs (Store Action… | =jetiny         | 2016-11-22 | 0.0.1    | 
scally                    | Scally is a Sass,…   | =chris__pearce  | 2015-09-07 | 2.10.1   | scally css oocss sass bem responsive
server-foundation         |                      |                 | 2013-11-28 |          | 
service-model             | An object oriented…  | =artifacthealth | 2016-11-05 | 0.2.29   | service wcf rest rpc decorators typescript
shell-csslib              | A powerful,…         | =chris__pearce  | 2016-12-16 | 2.0.0    | shell css library sass bem responsive
sixteen                   | SASS foundation for… | =guillaumepiot  | 2016-12-30 | 0.2.5    | sass bem
slush-foundation          | Slush generator for… | =jonkemp        | 2014-11-03 | 1.0.2    | slushgenerator web app front-end foundation gulp
slush-jekyll-webpack-foun | Sush generator for…  | =thiagopaixao   | 2016-10-17 | 0.1.0    | slushgenerator jekyll webpack foundation static website
dation                    |                      |                 |            |          |                                                        
slush-kickstart           | A slush generator…   | =mohamdio       | 2016-03-30 | 1.0.3    | slushgenerator gulp foundation bootstrap sass nunjucks browser-sync front-end web app
slush-web-kickstart       | A slush generator…   | =michtio        | 2016-04-19 | 0.5.1    | slushgenerator gulp foundation bootstrap materialize mdl sass nunjucks browser-sync front-end web app
software.bytepushers.comm | A collection of…     | =pouncilt       | 2015-11-28 | 0.0.6    | 
on-js                     |                      |                 |            |          | 
solar-stellarorg          | Stellar Development… | =irisli…        | 2016-03-23 | 0.2.0    | 
soulmates_foundation_base | tars+foundation+bem  | =eddy.lazar     | 2015-12-15 | 1.0.3    | 
srvoa                     | Infrastructure for…  | =a-z            | 2015-10-27 | 1.3.2    | soa service manager infrastructure service oriented architecture application framework foundation config services
stasis                    | Opinionated,…        | =hoch           | 2014-12-29 | 0.0.12   | static site generator blog foundation sass dustjs nodejs javascript
stateman                  | A tiny foundation…   | =leeluolee      | 2015-09-28 | 0.2.0    | router state spa
structure-js              | A class based…       | =ccheney…       | 2016-12-27 | 0.14.9   | structure structurejs structure-js javascript typescript actionscript
stylie                    | Stylie is a…         | =yawetse        | 2015-08-05 | 2.0.1    | typesettin bootstrap foundation css generator less css framework minimal flat ui
sunlight-congress-api     | A simple wrapper…    | =mcwhittemore   | 2015-03-12 | 0.3.1    | api congress sunlight foundation sunlight labs open government
superfly-css-foundation   | Extensions /…        | =ole.ersoy      | 2016-06-14 | 0.0.4    | css superfly-css resets standards style
tangojs-framework         | tangojs foundations  | =adriatik.dush… | 2015-10-22 | 1.0.0    | tangojs-framework
tbg-foundation-sites      | TBG fork of the…     | =tbg            | 2017-02-13 | 6.3.0    | 
react-foundation          | Foundation as React… | =crisu83…       | 2016-09-14 | 0.7.0    | 
templify                  | A simple template…   | =dojofoundation | 2016-01-20 | 0.9.1    | template persevere
ember-cli-foundation-moda | A modal mixin for…   | =toranb…        | 2016-04-25 | 1.0.0    | 
l                         |                      |                 |            |          | 
@pact-foundation/grunt-pa | A grunt task to run… | =mboudreau…     | 2016-06-14 | 4.3.0    | 
ct                        |                      |                 |            |          | 
generator-zf5             | Yeoman generator…    | =juliancwirko   | 2015-10-07 | 1.0.0    | 
react-html-document       | A foundational…      | =xavierelopez   | 2016-09-14 | 3.1.0    | 
ember-cli-foundation-sass | Include Foundation…  | =globegitter…   | 2016-05-26 | 2.0.0    | 
@envato-marketplace-found | JavaScript SDK for…  | =envato-founda… | 2016-09-27 | 0.4.0    | 
ation/market-api-gateway- |                      |                 |            |          | 
js                        |                      |                 |            |          | 
tfs-unlock                | Windows Team…        | =danactive      | 2016-05-15 | 0.5.0    | 
tfsjs                     | Windows Team…        | =su9er          | 2014-08-21 | 0.1.0    | tfs node npm
tfx-cli                   | CLI for Visual…      | =vsonline       | 2016-12-09 | 0.3.45   | 
theme-karyfoundation-them | Two very carefully…  | =pmkary         | 2016-11-22 | 8.0.0    | 
es                        |                      |                 |            |          | 
themex                    | The altimate…        | =pmkary         | 2016-11-22 | 0.0.5    | Color Themes Syntaxt Themes Color Schemes Visual Studio Code Code Atom Sublime Kary Foundation
thicket                   | Foundational…        | =maseb          | 2015-03-12 | 1.2.1    | 
threads-foundation        | Foundation for the…  | =dfmcphee       | 2016-07-09 | 0.0.3    | 
trifecta                  | A bad and…           | =lukejanicke    | 2016-01-05 | 2.0.0    | css reset framework foundation
twreporter-react          | React-Redux site…    | =twreporter     | 2016-08-30 | 1.0.15   | 
viur-css                  | This is the first…   | =phsieben       | 2016-08-24 | 1.0.3    | VIUR CSS framework vicss
voidcanvas                | An npm command line… | =metalshan      | 2016-07-17 | 1.1.1    | voidcanvas node-foundation
von-app                   | Foundation…          | =wangdahoo      | 2016-10-31 | 0.1.3    | 
vscode-tfs                | TFS Visual Studio…   | =ivangabriele   | 2016-03-07 | 0.5.2    | tfs team foundation server microsoft
vue-foundation            | A Vue.js project     | =idevent…       | 2016-09-30 | 0.1.0    | 
vue-foundation-components |                      |                 | 2016-08-23 |          | 
vulcangrid                | Zurb Foundation…     | =romelperez     | 2016-11-12 | 1.0.0    | 
koa-better-router         | Stable and lovely…   | =tunnckocore    | 2017-01-20 | 2.1.1    | 
slush-foundation          | Slush generator for… | =jonkemp        | 2014-11-03 | 1.0.2    | 
generator-foundation-brow | Foundation,…         | =dougmacklin    | 2016-12-15 | 6.3.0-g2 | 
serify                    |                      |                 |            |          | 
foundation-contextmenu    | Context Menu plugin… | =owlbertz       | 2016-10-07 | 0.0.6    | 
ng2-foundation            | angular2 foundation… | =tzuyangni      | 2016-06-22 | 0.0.4    | 
mofo-bootstrap            | Mozilla…             | =alanmoo =gvn…  | 2017-02-07 | 3.2.0    | 
ember-cli-foundation-6-sa | Foundation 6 SASS…   | =acoustep       | 2017-02-12 | 0.0.19   | 
ss                        |                      |                 |            |          | 
foundation-apps           | A responsive,…       | =eddiedean…     | 2015-12-05 | 1.2.0    | 
base                      | base is the…         | =doowb…         | 2016-06-24 | 0.11.1   | 
generator-veams           | Scaffold modern…     | =sadscorn…      | 2017-03-03 | 8.1.3    | 
